Round,.metric,.estimator,.estimate,race_time_milliseconds,race_time_mins,race_time_hrs
1,rmse,standard,12525.480811444999,5875688.1995596215,97.92813665932702,1.6321356109887837
2,rmse,standard,5453.310833516173,5512457.215465892,91.87428692443153,1.5312381154071923
3,rmse,standard,4503.489425531085,5250957.451834229,87.51595753057047,1.4585992921761746
4,rmse,standard,12191.934704642917,5361715.663972067,89.36192773286778,1.489365462214463
5,rmse,standard,5033.259848745637,6088451.799906684,101.4741966651114,1.69123661108519
6,rmse,standard,5342.702902269482,5681463.343159621,94.69105571932701,1.5781842619887836
7,rmse,standard,8240.498690379767,6225121.850214715,103.75203083691191,1.729200513948532
8,rmse,standard,2866.938228114452,5674716.623558674,94.57861039264456,1.5763101732107427
9,rmse,standard,2114.2886056411685,5529007.62141427,92.15012702357117,1.5358354503928529
10,rmse,standard,14108.147084196415,4993145.110214661,83.21908517024434,1.3869847528374057
11,rmse,standard,12414.25395614272,5142523.0311683575,85.7087171861393,1.4284786197689883
12,rmse,standard,9546.607056431392,5438098.622695737,90.63497704492895,1.5105829507488158
13,rmse,standard,5653.444408932082,5822865.031047618,97.0477505174603,1.6174625086243384
14,rmse,standard,69538.08020504385,5181717.307888398,86.3619551314733,1.4393659188578882
15,rmse,standard,1460.8975347676476,5625904.912338447,93.76508187230745,1.5627513645384574
16,rmse,standard,24382.89830953327,5850796.092347591,97.51326820579318,1.6252211367632197
17,rmse,standard,21430.764842176537,7109908.403648949,118.49847339414916,1.9749745565691526
18,rmse,standard,6996.441634164435,5025594.60500477,83.75991008341283,1.3959985013902139
19,rmse,standard,1162.6345411212583,5724565.808072482,95.40943013454137,1.5901571689090228
20,rmse,standard,1551.373878414066,5846654.626904282,97.44424378173802,1.6240707296956338
21,rmse,standard,1551.373878414066,5846654.626904282,97.44424378173802,1.6240707296956338
22,rmse,standard,5164.137537429412,6075752.709493839,101.26254515823065,1.6877090859705108
