Round,.metric,.estimator,.estimate,race_time_milliseconds,race_time_mins,race_time_hrs
1,rmse,standard,11985.714171190466,5636770.494000214,93.94617490000357,1.565769581666726
2,rmse,standard,6160.720272284911,5566085.4051781325,92.76809008630221,1.5461348347717034
3,rmse,standard,9858.554274573751,5306787.130743763,88.44645217906272,1.474107536317712
4,rmse,standard,18033.607738122588,5494248.573169178,91.57080955281964,1.5261801592136606
5,rmse,standard,11339.572904997067,5707614.810410138,95.12691350683563,1.5854485584472606
6,rmse,standard,15546.545870575013,5738826.439322891,95.64710732204819,1.5941184553674697
7,rmse,standard,3342.1978034423773,6191244.679871909,103.18741133119849,1.7197901888533083
8,rmse,standard,23266.097865893204,5889812.997403135,98.16354995671891,1.6360591659453152
9,rmse,standard,3426.86629331501,5490263.536143189,91.50439226905316,1.5250732044842192
10,rmse,standard,14043.8187944181,4998204.51228817,83.30340853813617,1.3883901423022695
11,rmse,standard,6769.9403954440295,5119299.73358502,85.32166222641699,1.4220277037736166
12,rmse,standard,10831.03251335111,5321181.054246818,88.68635090411362,1.4781058484018939
13,rmse,standard,5954.045779699489,5818550.138757956,96.97583564596594,1.6162639274327657
14,rmse,standard,17945.357166419304,5055525.861204853,84.25876435341422,1.4043127392235704
15,rmse,standard,1895.9353586737107,5490425.610902201,91.50709351503669,1.5251182252506115
16,rmse,standard,16408.494322420935,4684994.225768157,78.08323709613596,1.3013872849355992
17,rmse,standard,18022.16273809987,6964399.675518109,116.07332792530183,1.934555465421697
18,rmse,standard,2085.1688664158023,5120590.15924587,85.3431693207645,1.422386155346075
19,rmse,standard,4065.9744177128214,5709648.775813417,95.16081293022361,1.5860135488370601
20,rmse,standard,7420.232215775387,5974801.285257142,99.58002142095236,1.6596670236825395
21,rmse,standard,6893.848669404311,5452530.073090527,90.87550121817546,1.5145916869695908
22,rmse,standard,15704.54665606661,6121968.369764656,102.03280616274427,1.700546769379071
