Round,.metric,.estimator,.estimate,race_time_milliseconds,race_time_mins,race_time_hrs
1,rmse,standard,11326.943571068601,5711102.6647015475,95.18504441169246,1.5864174068615409
2,rmse,standard,6541.007312009027,5637228.897880352,93.95381496467253,1.5658969160778755
3,rmse,standard,19643.37568276419,5338077.911120284,88.96796518533807,1.4827994197556345
4,rmse,standard,18839.81868871929,5523947.262521175,92.06578770868624,1.5344297951447707
5,rmse,standard,7861.585542042473,5799833.552237135,96.66389253728559,1.6110648756214265
6,rmse,standard,10059.532553724717,5803456.804539791,96.72428007566319,1.6120713345943865
7,rmse,standard,9048.436169683462,6400060.909614088,106.66768182690147,1.7777946971150245
8,rmse,standard,185361.8366267494,5884714.02383081,98.07856706384683,1.6346427843974471
9,rmse,standard,4671.737367852047,5544322.488897783,92.40537481496304,1.5400895802493841
10,rmse,standard,14789.038810343513,5162877.167513533,86.04795279189221,1.4341325465315369
11,rmse,standard,5565.704017591711,5058209.283203634,84.3034880533939,1.4050581342232318
12,rmse,standard,11111.734463687664,5299879.225045695,88.33132041742824,1.4721886736238041
13,rmse,standard,6685.825009687489,5954642.421695165,99.24404036158609,1.6540673393597682
14,rmse,standard,19262.393809612233,5502405.750047226,91.70676250078711,1.5284460416797852
15,rmse,standard,1983.6410691756498,5537216.003988252,92.2869333998042,1.5381155566634033
16,rmse,standard,9662.676300854133,4690225.240497859,78.17042067496432,1.3028403445827386
17,rmse,standard,20313.521565585423,7107863.723796529,118.46439539660881,1.9744065899434802
18,rmse,standard,9543.377593386695,5202410.037913414,86.70683396522357,1.4451138994203927
19,rmse,standard,3057.3594878840145,5797351.655039416,96.62252758399026,1.610375459733171
20,rmse,standard,6889.567884427364,5978759.04733114,99.64598412218567,1.660766402036428
21,rmse,standard,16314.996804390632,6329012.667222336,105.4835444537056,1.7580590742284266
22,rmse,standard,10369.114636582315,6150536.396469096,102.5089399411516,1.7084823323525267
