Round,.metric,.estimator,.estimate,race_time_milliseconds,race_time_mins,race_time_hrs
1,rmse,standard,13029.861547253548,5780362.94256576,96.339382376096,1.6056563729349331
2,rmse,standard,4682.0863554196085,5661497.537343167,94.35829228905278,1.5726382048175462
3,rmse,standard,6972.116151967529,5372076.679140125,89.5346113190021,1.492243521983368
4,rmse,standard,15780.139893883876,5585750.235254141,93.09583725423568,1.5515972875705946
5,rmse,standard,8325.232140811135,5795065.3406623555,96.5844223443726,1.6097403724062098
6,rmse,standard,11797.399306402242,5764436.013228693,96.07393355381156,1.6012322258968592
7,rmse,standard,4850.069097051935,6186663.88443558,103.11106474059301,1.7185177456765501
8,rmse,standard,22265.824536545846,6109101.095929081,101.81835159881801,1.6969725266469669
9,rmse,standard,6704.478299067834,5628984.605661502,93.81641009435837,1.5636068349059729
10,rmse,standard,13030.220518918184,5125844.4684691625,85.43074114115271,1.4238456856858785
11,rmse,standard,7020.773974810218,5156216.271276362,85.93693785460604,1.4322822975767673
12,rmse,standard,1332.3570950698513,5367009.486144147,89.45015810240245,1.490835968373374
13,rmse,standard,7723.147862306843,5976402.857763492,99.60671429605819,1.6601119049343032
14,rmse,standard,154773.96434974764,5190089.389668829,86.50148982781381,1.4416914971302301
15,rmse,standard,1883.0739673091748,5523758.887646608,92.06264812744347,1.5343774687907246
16,rmse,standard,10209.061157061302,4792440.274981887,79.87400458303145,1.331233409717191
17,rmse,standard,19178.034295893318,7483396.337420036,124.72327229033394,2.078721204838899
18,rmse,standard,9374.50712125186,5320895.805349816,88.68159675583026,1.478026612597171
19,rmse,standard,5820.666015669873,5873739.7294843355,97.89566215807226,1.6315943693012043
20,rmse,standard,8059.754938409965,6084252.144196999,101.40420240328332,1.690070040054722
21,rmse,standard,209612.30024421518,6145355.51658115,102.42259194301916,1.7070431990503194
22,rmse,standard,7595.1185191724235,6230604.946305988,103.84341577176647,1.7307235961961078
