Round,.metric,.estimator,.estimate,race_time_milliseconds,race_time_mins,race_time_hrs
1,rmse,standard,12660.96359749549,5769985.670281375,96.16642783802291,1.602773797300382
2,rmse,standard,4433.2155101837325,5513129.940627724,91.88549901046207,1.5314249835077012
3,rmse,standard,14467.297354791195,5368066.067715831,89.46776779526385,1.4911294632543974
4,rmse,standard,7670.133155191645,5082755.890296083,84.71259817160139,1.4118766361933563
5,rmse,standard,10019.170772878595,5940136.251326271,99.00227085543786,1.650037847590631
6,rmse,standard,8569.60418894148,5901376.265617229,98.35627109362048,1.6392711848936747
7,rmse,standard,12363.503331062193,6536706.514466156,108.94510857443593,1.8157518095739322
8,rmse,standard,19252.439896923486,5952955.1098982105,99.21591849830351,1.6535986416383919
9,rmse,standard,5284.4966307785535,5638488.835223416,93.97481392039026,1.566246898673171
10,rmse,standard,15341.206885338153,5298813.639975341,88.31356066625568,1.471892677770928
11,rmse,standard,7098.997060952823,5107488.789716742,85.1248131619457,1.4187468860324284
12,rmse,standard,13010.300592351901,5340124.727793133,89.00207879655221,1.483367979942537
13,rmse,standard,3607.548792232375,6004595.338094795,100.07658896824658,1.6679431494707764
14,rmse,standard,12725.051946856924,5139584.396628216,85.6597399438036,1.4276623323967266
15,rmse,standard,1543.996109365514,5718513.128346551,95.30855213910918,1.588475868985153
16,rmse,standard,8529.150021371828,4718361.262284149,78.63935437140249,1.3106559061900416
17,rmse,standard,20841.16855456896,7237237.697680938,120.6206282946823,2.0103438049113715
18,rmse,standard,15118.937203461504,5303192.250059685,88.38653750099475,1.4731089583499124
19,rmse,standard,6788.880863031162,5837071.901804532,97.28453169674219,1.62140886161237
20,rmse,standard,5219.2012310671735,6063246.728882835,101.05411214804725,1.6842352024674543
21,rmse,standard,18207.635567131358,6080050.234057435,101.33417056762391,1.6889028427937318
22,rmse,standard,6218.434435205823,6243444.8773810025,104.05741462301671,1.7342902437169452
