Round,.metric,.estimator,.estimate,race_time_milliseconds,race_time_mins,race_time_hrs
1,rmse,standard,10951.012562558006,5676521.612665081,94.60869354441802,1.5768115590736338
2,rmse,standard,13085.42031308431,5507143.4102545595,91.78572350424265,1.5297620584040443
3,rmse,standard,9179.912881371216,5269262.859429964,87.82104765716606,1.4636841276194343
4,rmse,standard,23424.714772522988,5569511.122942766,92.82518538237943,1.5470864230396573
5,rmse,standard,8254.319396038623,5714323.413076426,95.23872355127376,1.587312059187896
6,rmse,standard,12187.055265269213,5659856.347419216,94.33093912365361,1.57218231872756
7,rmse,standard,7871.228288268703,6376880.644685044,106.28134407808406,1.7713557346347344
8,rmse,standard,174129.59002788577,5910726.177025241,98.51210295042068,1.6418683825070113
9,rmse,standard,6288.73895207854,5490443.627684229,91.50739379473715,1.5251232299122859
10,rmse,standard,14966.236694578063,5135405.45490019,85.59009091500317,1.4265015152500529
11,rmse,standard,7464.8383215891045,5096353.2886046,84.93922147674334,1.4156536912790556
12,rmse,standard,11788.911940910355,5232989.971417622,87.21649952362702,1.4536083253937837
13,rmse,standard,11381.99803178891,6221508.417635118,103.6918069605853,1.7281967826764215
14,rmse,standard,144344.39265165204,5102703.74106335,85.04506235105583,1.4174177058509305
15,rmse,standard,4574.522628357011,5416315.851234662,90.27193085391104,1.5045321808985173
16,rmse,standard,8244.505994423507,4659129.5131698055,77.65215855283009,1.2942026425471682
17,rmse,standard,19375.739796689642,7109658.232446562,118.49430387410936,1.9749050645684894
18,rmse,standard,9551.342906315178,5170929.837128688,86.18216395214479,1.4363693992024131
19,rmse,standard,4472.817607464172,5698571.725962149,94.97619543270248,1.5829365905450414
20,rmse,standard,6958.281792160985,5931429.553332019,98.85715922220031,1.6476193203700051
21,rmse,standard,16863.222994642245,6258452.173986242,104.30753623310403,1.7384589372184005
22,rmse,standard,9764.697629636095,6106951.570519851,101.78252617533084,1.6963754362555141
