Round,.metric,.estimator,.estimate,race_time_milliseconds,race_time_mins,race_time_hrs
1,rmse,standard,6527.945476667143,5824375.685289107,97.07292808815178,1.6178821348025298
2,rmse,standard,7671.7076342748815,5826283.799088692,97.10472998481154,1.6184121664135256
3,rmse,standard,4728.682089214481,5409916.705068281,90.16527841780469,1.5027546402967447
4,rmse,standard,20114.55211980561,5880181.480791134,98.00302467985223,1.6333837446642039
5,rmse,standard,1451.3507281609795,5585096.825698355,93.08494709497259,1.5514157849162098
6,rmse,standard,3737.9324979580774,5749941.021661684,95.83235036102806,1.5972058393504678
7,rmse,standard,5597.804952309502,6190841.0717538465,103.18068452923077,1.7196780754871797
8,rmse,standard,591222.6880095997,6016644.27368607,100.2774045614345,1.6712900760239082
9,rmse,standard,7562.82268397723,5586639.20780716,93.11065346345266,1.5518442243908779
10,rmse,standard,7670.190931612453,5182854.729198273,86.38091215330455,1.4396818692217426
11,rmse,standard,2413.5171430967443,5159359.417723374,85.98932362872291,1.4331553938120485
12,rmse,standard,14494.28844660305,5361277.739668622,89.35462899447703,1.4892438165746171
13,rmse,standard,22824.094471215612,6065923.689745012,101.09872816241686,1.6849788027069477
14,rmse,standard,14580.489878795563,5227614.858668458,87.12691431114096,1.4521152385190161
15,rmse,standard,11079.168307074178,5630568.067272419,93.84280112120699,1.5640466853534498
16,rmse,standard,8790.560020520066,5004821.657143293,83.41369428572155,1.3902282380953592
17,rmse,standard,15565.354564225529,7208595.209625511,120.14325349375852,2.0023875582293087
18,rmse,standard,6195.794523180368,5296711.50032691,88.2785250054485,1.4713087500908084
19,rmse,standard,2468.196650991496,5898798.760204873,98.31331267008122,1.6385552111680204
20,rmse,standard,6191.389783407343,6124838.205456039,102.08063675760064,1.7013439459600108
21,rmse,standard,5592.886320210353,5791345.578902414,96.52242631504024,1.6087071052506705
22,rmse,standard,6752.56605375628,6244376.798701754,104.07294664502923,1.7345491107504871
