Round,.metric,.estimator,.estimate,race_time_milliseconds,race_time_mins,race_time_hrs
1,rmse,standard,10650.55897002209,5742129.677488784,95.70216129147974,1.5950360215246624
2,rmse,standard,7924.1101612447555,5578044.174387277,92.96740290645462,1.5494567151075769
3,rmse,standard,4968.265696713822,5335087.797280143,88.91812995466906,1.4819688325778175
4,rmse,standard,397177.48580779356,5662554.873437738,94.37591455729563,1.5729319092882605
5,rmse,standard,4961.01326279985,6107795.988940213,101.79659981567022,1.696609996927837
6,rmse,standard,11052.77983035791,5833438.503393478,97.22397505655796,1.620399584275966
7,rmse,standard,6552.296057383665,6164141.384399799,102.73568973999664,1.7122614956666107
8,rmse,standard,8352.417303890334,5571281.129660426,92.85468549434043,1.5475780915723405
9,rmse,standard,3579.9786238128017,5517676.005816193,91.96126676360322,1.532687779393387
10,rmse,standard,15213.622316848372,5148328.643560678,85.80547739267796,1.430091289877966
11,rmse,standard,11813.189316745946,5050216.509263043,84.17027515438406,1.4028379192397342
12,rmse,standard,10619.87979400332,5226469.961296506,87.10783268827511,1.4517972114712516
13,rmse,standard,6536.499529421647,6044720.447637675,100.74534079396126,1.6790890132326877
14,rmse,standard,12903.683303838621,5156028.916649328,85.93381527748879,1.4322302546248131
15,rmse,standard,812.7241357425662,5392087.435059036,89.8681239176506,1.4978020652941768
16,rmse,standard,4446.714907562356,4692749.933847404,78.21249889745674,1.3035416482909457
17,rmse,standard,17954.158670140405,7012976.096678588,116.88293494464313,1.9480489157440521
18,rmse,standard,8315.019740203996,5290238.349209902,88.17063915349837,1.4695106525583062
19,rmse,standard,9477.0709956544,5876393.955381433,97.93989925635721,1.63233165427262
20,rmse,standard,8089.610620917256,5951434.767413103,99.19057945688505,1.6531763242814175
21,rmse,standard,15146.493468517634,5798670.01212805,96.64450020213417,1.6107416700355697
22,rmse,standard,8886.925533361315,6112571.048503278,101.8761841417213,1.6979364023620216
