Round,.metric,.estimator,.estimate,race_time_milliseconds,race_time_mins,race_time_hrs
1,rmse,standard,40072.85897468521,6861606.096884784,114.3601016147464,1.9060016935791066
2,rmse,standard,7457.27312447424,5701848.405882466,95.03080676470776,1.583846779411796
3,rmse,standard,8362.1303369771,5497426.766815115,91.62377944691858,1.5270629907819764
4,rmse,standard,13293.385898473416,5328228.832311677,88.80381387186128,1.4800635645310214
5,rmse,standard,8324.736811198585,5900397.553947032,98.33995923245054,1.6389993205408424
6,rmse,standard,2724.7689009594233,5723417.595052921,95.39029325088202,1.5898382208480337
7,rmse,standard,1218.0358471013762,6092014.065161553,101.53356775269255,1.6922261292115426
8,rmse,standard,138866.9778702754,9684489.989223288,161.4081664870548,2.69013610811758
9,rmse,standard,16799.005479620933,6637076.004670318,110.61793341117198,1.8436322235195328
10,rmse,standard,13366.514370107692,5111678.3452389,85.194639087315,1.41991065145525
11,rmse,standard,9262.433417568958,5228958.521540213,87.14930869233689,1.4524884782056149
12,rmse,standard,5157.728277208448,5347471.912290032,89.12453187150054,1.485408864525009
13,rmse,standard,248716.27500443475,6112386.889679699,101.87311482799498,1.6978852471332497
14,rmse,standard,21177.14209313553,5121699.00410112,85.361650068352,1.4226941678058667
15,rmse,standard,1337.6038867990926,5632259.203564593,93.87098672607654,1.564516445434609
16,rmse,standard,16671.1283534394,4875264.499790862,81.2544083298477,1.354240138830795
17,rmse,standard,15071.08869794592,7250584.572611704,120.84307621019506,2.014051270169918
18,rmse,standard,13531.223280542437,5482045.418076869,91.36742363461448,1.5227903939102414
19,rmse,standard,1438.7555492995605,5883130.936648898,98.05218227748163,1.6342030379580272
20,rmse,standard,5999.137874452082,6122988.290652036,102.0498048442006,1.7008300807366765
21,rmse,standard,5877.686030377502,5684385.962570326,94.73976604283877,1.5789961007139797
22,rmse,standard,3485.7451310559054,6270269.57203732,104.50449286728866,1.7417415477881444
