Round,.metric,.estimator,.estimate,race_time_milliseconds,race_time_mins,race_time_hrs
1,rmse,standard,168665.3827473043,5727892.385069392,95.46487308448987,1.591081218074831
2,rmse,standard,7325.898116605786,5626322.629598409,93.77204382664014,1.5628673971106692
3,rmse,standard,2046.780875664983,5234981.866418748,87.2496977736458,1.4541616295607633
4,rmse,standard,355501.00570028456,5710421.786303548,95.17369643839247,1.5862282739732079
5,rmse,standard,9341.707459092631,5774982.040147377,96.24970066912296,1.604161677818716
6,rmse,standard,7399.5059944590985,5718507.982548083,95.30846637580139,1.5884744395966899
7,rmse,standard,5319.330207238194,6126019.845006441,102.10033075010735,1.7016721791684557
8,rmse,standard,19640.251025573813,5943365.063810281,99.05608439683803,1.6509347399473004
9,rmse,standard,4217.576116220223,5532096.883410465,92.20161472350775,1.5366935787251292
10,rmse,standard,13785.284008301805,5104430.480192659,85.07384133654432,1.4178973556090722
11,rmse,standard,9836.789967844006,5144943.923077236,85.7490653846206,1.4291510897436766
12,rmse,standard,4293.338550734684,5247907.052778775,87.46511754631291,1.4577519591052153
13,rmse,standard,13727.02370776663,5918759.546737199,98.64599244561998,1.6440998740936663
14,rmse,standard,14774.398331344702,5170386.624528766,86.17311040881276,1.436218506813546
15,rmse,standard,1321.438352502544,5488626.047836879,91.47710079728132,1.5246183466213554
16,rmse,standard,16854.92792438672,4695432.496441227,78.25720827402046,1.3042868045670075
17,rmse,standard,16919.721359838117,6978836.707281023,116.31394512135039,1.9385657520225064
18,rmse,standard,12900.939581990504,5236036.629572651,87.2672771595442,1.4544546193257364
19,rmse,standard,8714.868021069331,5830228.655052046,97.17047758420077,1.6195079597366795
20,rmse,standard,6479.955613507565,6000702.503768412,100.01170839614021,1.6668618066023368
21,rmse,standard,9521.810640786518,5556010.271725538,92.60017119542563,1.5433361865904274
22,rmse,standard,11917.18219090451,6197772.171113966,103.29620285189944,1.7216033808649907
