Round,.metric,.estimator,.estimate,race_time_milliseconds,race_time_mins,race_time_hrs
1,rmse,standard,7563.856500703445,5797036.083759898,96.61726806266498,1.6102878010444162
2,rmse,standard,13552.075635271927,5560046.289766763,92.66743816277939,1.5444573027129898
3,rmse,standard,7762.521939830506,5696117.841063373,94.9352973510562,1.582254955850937
4,rmse,standard,10438.672450785918,5612168.976189717,93.53614960316195,1.5589358267193658
5,rmse,standard,6506.851559933159,5625783.825291853,93.76306375486422,1.562717729247737
6,rmse,standard,9334.26748282595,5953771.826046863,99.22953043411438,1.6538255072352397
7,rmse,standard,9464.796692519138,6757204.929554679,112.62008215924466,1.8770013693207444
8,rmse,standard,20278.07937444363,6339934.207738796,105.66557012897994,1.7610928354829989
9,rmse,standard,8955.91131537893,5616487.399127688,93.60812331879481,1.56013538864658
10,rmse,standard,15153.776727895674,5339566.733902014,88.9927788983669,1.4832129816394484
11,rmse,standard,5837.5825763834,5195238.361665756,86.58730602776261,1.4431217671293768
12,rmse,standard,8916.934038946983,5278523.506683259,87.97539177805432,1.4662565296342387
13,rmse,standard,8343.842930684075,6203250.648335537,103.38751080559229,1.7231251800932048
14,rmse,standard,14513.608410590245,5177948.562240319,86.29914270400532,1.4383190450667553
15,rmse,standard,1218.4825754749647,5528224.776725418,92.1370796120903,1.5356179935348384
16,rmse,standard,7740.068424172443,4777035.910676886,79.6172651779481,1.3269544196324685
17,rmse,standard,14235.075501763784,7289563.319889129,121.49272199815215,2.0248786999692023
18,rmse,standard,11341.483663182848,5457652.589051462,90.96087648419103,1.5160146080698504
19,rmse,standard,11889.356939881745,5925660.294526693,98.76100490877822,1.646016748479637
20,rmse,standard,8377.182331417855,5996317.1250969395,99.93861875161566,1.665643645860261
21,rmse,standard,15858.643333970676,6271012.162417445,104.51686937362409,1.7419478228937348
22,rmse,standard,8342.414587663568,6293043.904970997,104.88406508284994,1.7480677513808325
