Round,.metric,.estimator,.estimate,race_time_milliseconds,race_time_mins,race_time_hrs
1,rmse,standard,10275.183420692363,5913947.098006788,98.5657849667798,1.6427630827796633
2,rmse,standard,7851.675381619559,5604957.39451984,93.41595657533067,1.5569326095888445
3,rmse,standard,13472.415233004605,5607733.843730655,93.46223072884425,1.5577038454807375
4,rmse,standard,14680.309480437201,5523653.821058358,92.0608970176393,1.5343482836273217
5,rmse,standard,8507.214335962555,5330994.655064379,88.84991091773965,1.4808318486289942
6,rmse,standard,8662.507418320867,5795392.478192752,96.58987463654587,1.6098312439424312
7,rmse,standard,10412.24345654337,6465746.430793256,107.76244051322092,1.7960406752203488
8,rmse,standard,17779.61277434894,5841778.793318965,97.3629798886494,1.6227163314774902
9,rmse,standard,10210.433453418786,5658378.516272887,94.30630860454811,1.5717718100758018
10,rmse,standard,13623.19780174502,4924620.720838028,82.07701201396713,1.3679502002327855
11,rmse,standard,7170.110173309448,5134977.121331854,85.58295202219756,1.4263825337032927
12,rmse,standard,4940.897569024966,5314084.762669863,88.56807937783105,1.4761346562971842
13,rmse,standard,8265.542590140964,6270293.360440874,104.50488934068123,1.7417481556780203
14,rmse,standard,17074.158432931312,5162090.530120593,86.03484216867655,1.433914036144609
15,rmse,standard,2917.7848178069194,5608890.103375057,93.48150172291761,1.5580250287152935
16,rmse,standard,9239.23328243141,4960717.091680637,82.67861819467728,1.377976969911288
17,rmse,standard,17117.31019040061,7119733.459684058,118.66222432806764,1.9777037388011272
18,rmse,standard,8239.958950454353,5329326.271901881,88.82210453169802,1.4803684088616338
19,rmse,standard,10048.388392286146,5850813.033192511,97.51355055320852,1.6252258425534751
20,rmse,standard,8035.583640368979,5967953.862335565,99.46589770559274,1.657764961759879
21,rmse,standard,10973.676240686782,5667289.047902138,94.45481746503563,1.574246957750594
22,rmse,standard,8919.825109750505,6213510.288566936,103.55850480944893,1.7259750801574822
