.metric,.estimator,.estimate,Round
rmse,standard,14562.93657219769,1
rmse,standard,7198.483114887497,2
rmse,standard,4584.735268925105,3
rmse,standard,17186.285314584107,4
rmse,standard,6315.402462947406,5
rmse,standard,5681.106705917361,6
rmse,standard,4836.30846844415,7
rmse,standard,2744.2560985094674,8
rmse,standard,2659.494336522952,9
rmse,standard,14280.685504171293,10
rmse,standard,13235.97237726827,11
rmse,standard,15766.109954278048,12
rmse,standard,3893.3131436523095,13
rmse,standard,69483.19002888296,14
rmse,standard,2986.8686723132564,15
rmse,standard,325071.9854830316,16
rmse,standard,19254.17407799026,17
rmse,standard,1278.8652422369782,18
rmse,standard,7146.755754488154,19
rmse,standard,5214.575735467665,20
rmse,standard,5214.575735467665,21
rmse,standard,10503.91253779178,22
