.metric,.estimator,.estimate,Round
rmse,standard,4847.362286376447,1
rmse,standard,5188.733617484065,2
rmse,standard,4104.966610372402,3
rmse,standard,295074.3676087627,4
rmse,standard,7757.733320312133,5
rmse,standard,10706.567868253203,6
rmse,standard,715.5191974202164,7
rmse,standard,18315.689346004085,8
rmse,standard,6765.810562309715,9
rmse,standard,11154.571385179519,10
rmse,standard,8231.784896933808,11
rmse,standard,11175.240845365734,12
rmse,standard,2173.691377262161,13
rmse,standard,8173.536402323377,14
rmse,standard,4589.775989760935,15
rmse,standard,11431.286017376526,16
rmse,standard,18508.665109995483,17
rmse,standard,5864.225768955667,18
rmse,standard,2544.197661912409,19
rmse,standard,6541.16958798147,20
rmse,standard,9162.72095929741,21
rmse,standard,9640.42708311224,22
