.metric,.estimator,.estimate,Round
rmse,standard,6972.00442177631,1
rmse,standard,3052.7784453694876,2
rmse,standard,6606.5495452516325,3
rmse,standard,10956.906593148135,4
rmse,standard,8209.728693221203,5
rmse,standard,8732.81993530072,6
rmse,standard,10903.248068651217,7
rmse,standard,17422.872284253204,8
rmse,standard,5595.981668232592,9
rmse,standard,13747.775171695857,10
rmse,standard,9053.335309102426,11
rmse,standard,4875.787128212214,12
rmse,standard,8830.399945187786,13
rmse,standard,10282.931486661308,14
rmse,standard,653.9151378213995,15
rmse,standard,9323.9282661043,16
rmse,standard,16059.228818990707,17
rmse,standard,6750.607841798179,18
rmse,standard,9702.657875964976,19
rmse,standard,6974.629108654666,20
rmse,standard,17208.371697024686,21
rmse,standard,8156.784262923448,22
