.metric,.estimator,.estimate,Round
rmse,standard,7508.111612967725,1
rmse,standard,6541.007312009027,2
rmse,standard,8395.944339223857,3
rmse,standard,18839.81868871929,4
rmse,standard,7861.585542042473,5
rmse,standard,9519.850292824724,6
rmse,standard,9902.828406321492,7
rmse,standard,185361.8366267494,8
rmse,standard,8221.569678018659,9
rmse,standard,17625.49285315799,10
rmse,standard,6206.105062792855,11
rmse,standard,11111.734463687664,12
rmse,standard,10600.06443073402,13
rmse,standard,117199.42881899579,14
rmse,standard,1983.6410691756498,15
rmse,standard,10814.1594745788,16
rmse,standard,19053.791080070278,17
rmse,standard,12486.644438763518,18
rmse,standard,12604.589175351242,19
rmse,standard,7472.7522511019315,20
rmse,standard,120192.08390191582,21
rmse,standard,9305.48479715751,22
