.metric,.estimator,.estimate,Round
rmse,standard,13029.861547253548,1
rmse,standard,4682.0863554196085,2
rmse,standard,6972.116151967529,3
rmse,standard,15780.139893883876,4
rmse,standard,8325.232140811135,5
rmse,standard,11797.399306402242,6
rmse,standard,4850.069097051935,7
rmse,standard,22265.824536545846,8
rmse,standard,6704.478299067834,9
rmse,standard,13030.220518918184,10
rmse,standard,7020.773974810218,11
rmse,standard,1332.3570950698513,12
rmse,standard,7723.147862306843,13
rmse,standard,154773.96434974764,14
rmse,standard,1883.0739673091748,15
rmse,standard,10209.061157061302,16
rmse,standard,19178.034295893318,17
rmse,standard,9374.50712125186,18
rmse,standard,5820.666015669873,19
rmse,standard,8059.754938409965,20
rmse,standard,209612.30024421518,21
rmse,standard,7595.1185191724235,22
