.metric,.estimator,.estimate,Round
rmse,standard,9055.023551206998,1
rmse,standard,8235.551545138102,2
rmse,standard,14146.307098227446,3
rmse,standard,6911.638459206844,4
rmse,standard,6271.067930214256,5
rmse,standard,10491.459285772045,6
rmse,standard,10413.858815032352,7
rmse,standard,19490.14575452589,8
rmse,standard,10955.167384440234,9
rmse,standard,12859.093751603994,10
rmse,standard,4913.055291971271,11
rmse,standard,9860.837594376942,12
rmse,standard,7193.923341242261,13
rmse,standard,14123.025346465545,14
rmse,standard,689.2394274734831,15
rmse,standard,10373.554044557926,16
rmse,standard,12926.058729708144,17
rmse,standard,10640.171470380572,18
rmse,standard,11802.62235312532,19
rmse,standard,7294.820574000995,20
rmse,standard,11590.476754380203,21
rmse,standard,9492.154122335338,22
