.metric,.estimator,.estimate,Round
rmse,standard,9783.269793123603,1
rmse,standard,3793.236873059466,2
rmse,standard,5817.905730386484,3
rmse,standard,15360.116241126023,4
rmse,standard,8254.049189859948,5
rmse,standard,10362.333475162552,6
rmse,standard,6228.063019457058,7
rmse,standard,15986.947361734628,8
rmse,standard,1222.0755623834573,9
rmse,standard,11556.66471187266,10
rmse,standard,3987.5298316135204,11
rmse,standard,1841.8843500766432,12
rmse,standard,3914.3250053998972,13
rmse,standard,5994.870789812557,14
rmse,standard,4534.431581858203,15
rmse,standard,12796.940542593418,16
rmse,standard,503.0692119328488,17
rmse,standard,1077.378127630441,18
rmse,standard,3623.5200840053035,19
rmse,standard,8181.331687263619,20
rmse,standard,5401.200779184297,21
rmse,standard,6674.764008281338,22
