.metric,.estimator,.estimate,Round
rmse,standard,7412.126046788348,1
rmse,standard,1502.8988209855818,2
rmse,standard,4391.542486845457,3
rmse,standard,1092.2312349654487,4
rmse,standard,8558.369325860727,5
rmse,standard,8731.883752769392,6
rmse,standard,9755.586057589739,7
rmse,standard,15923.186393243062,8
rmse,standard,8134.873837239772,9
rmse,standard,14121.639751049965,10
rmse,standard,4493.590525815503,11
rmse,standard,12095.648979414404,12
rmse,standard,7615.528812981927,13
rmse,standard,13689.464362883075,14
rmse,standard,1606.5346633568515,15
rmse,standard,7976.552201024031,16
rmse,standard,20810.648636514623,17
rmse,standard,15759.127965183461,18
rmse,standard,5556.103394862614,19
rmse,standard,5272.403551775146,20
rmse,standard,13018.550445689303,21
rmse,standard,9704.330102906622,22
