.metric,.estimator,.estimate,Round
rmse,standard,11752.963984988392,1
rmse,standard,13085.42031308431,2
rmse,standard,12690.580758653141,3
rmse,standard,23424.714772522988,4
rmse,standard,7881.056311665325,5
rmse,standard,9669.542879770675,6
rmse,standard,11641.859663744797,7
rmse,standard,174129.59002788577,8
rmse,standard,9056.230508490487,9
rmse,standard,164277.888720788,10
rmse,standard,8718.284531883755,11
rmse,standard,11788.911940910355,12
rmse,standard,97435.78260584094,13
rmse,standard,101450.60664162456,14
rmse,standard,4574.522628357011,15
rmse,standard,10403.939069937194,16
rmse,standard,17605.01034998627,17
rmse,standard,11054.897320099191,18
rmse,standard,13208.941243854606,19
rmse,standard,9173.405141810565,20
rmse,standard,104888.4278029378,21
rmse,standard,8901.65018067686,22
