.metric,.estimator,.estimate,Round
rmse,standard,12072.386772856968,1
rmse,standard,10420.582992837299,2
rmse,standard,1489.4709106760563,3
rmse,standard,11616.93858506611,4
rmse,standard,7419.19848228517,5
rmse,standard,5481.113595513272,6
rmse,standard,5868.080813302078,7
rmse,standard,14098.060619115498,8
rmse,standard,13179.68025155724,9
rmse,standard,292235.8648289725,10
rmse,standard,8919.397248952693,11
rmse,standard,1850.8497352624786,12
rmse,standard,18750.71784753411,13
rmse,standard,13584.223164753224,14
rmse,standard,1004.815962783578,15
rmse,standard,14735.473810540883,16
rmse,standard,18225.205243311902,17
rmse,standard,5854.427576314468,18
rmse,standard,5525.051835814141,19
rmse,standard,8418.18961897101,20
rmse,standard,9738.79092653327,21
rmse,standard,8251.016714469519,22
