.metric,.estimator,.estimate,Round
rmse,standard,11781.133585638398,1
rmse,standard,11508.963748116694,2
rmse,standard,6219.281680909516,3
rmse,standard,273423.8406629293,4
rmse,standard,6478.518853484689,5
rmse,standard,7062.4137548920035,6
rmse,standard,9659.983380080055,7
rmse,standard,19213.847359113915,8
rmse,standard,4294.414888387542,9
rmse,standard,244908.74150508325,10
rmse,standard,5030.977712140787,11
rmse,standard,13381.609789806704,12
rmse,standard,7930.672263032176,13
rmse,standard,27475.11675669749,14
rmse,standard,2342.65999411594,15
rmse,standard,199584.75623257953,16
rmse,standard,20133.43050961417,17
rmse,standard,9563.070555711824,18
rmse,standard,5613.759759124533,19
rmse,standard,5395.315980121457,20
rmse,standard,10540.641943911802,21
rmse,standard,9229.115442306516,22
