.metric,.estimator,.estimate,Round
rmse,standard,4535.8571764619055,1
rmse,standard,8048.296846409199,2
rmse,standard,8199.301276979697,3
rmse,standard,11741.674853596189,4
rmse,standard,1233.6879864329119,5
rmse,standard,6394.461633863893,6
rmse,standard,3709.8846416718147,7
rmse,standard,8423.719039966416,8
rmse,standard,7978.894818547242,9
rmse,standard,7856.837103251542,10
rmse,standard,3966.244607295972,11
rmse,standard,10055.938051441764,12
rmse,standard,3667.346363273969,13
rmse,standard,12525.240985919705,14
rmse,standard,5671.921362701725,15
rmse,standard,24826.829231980755,16
rmse,standard,12969.685825197635,17
rmse,standard,16184.018596295837,18
rmse,standard,1437.1465677082504,19
rmse,standard,8521.978118106865,20
rmse,standard,13066.547491406413,21
rmse,standard,5664.62325089786,22
