.metric,.estimator,.estimate,Round
rmse,standard,253506.7073893126,1
rmse,standard,9566.0108817647,2
rmse,standard,11562.463477213805,3
rmse,standard,14514.627886345692,4
rmse,standard,9242.558360897969,5
rmse,standard,5638.1639959547065,6
rmse,standard,3966.5580488737205,7
rmse,standard,602298.5793301036,8
rmse,standard,471169.07880820945,9
rmse,standard,17536.270489600378,10
rmse,standard,10216.813976414922,11
rmse,standard,1685.546804362582,12
rmse,standard,262644.30097781983,13
rmse,standard,13202.458568587504,14
rmse,standard,4910.332480405372,15
rmse,standard,22396.694859620664,16
rmse,standard,15798.902189698641,17
rmse,standard,81445.10258105176,18
rmse,standard,2467.821536246211,19
rmse,standard,8880.491013624178,20
rmse,standard,5517.712627230998,21
rmse,standard,4695.723623865759,22
