.metric,.estimator,.estimate,Round
rmse,standard,168665.3827473043,1
rmse,standard,7325.898116605786,2
rmse,standard,2046.780875664983,3
rmse,standard,355501.00570028456,4
rmse,standard,9341.707459092631,5
rmse,standard,7399.5059944590985,6
rmse,standard,5319.330207238194,7
rmse,standard,19640.251025573813,8
rmse,standard,4217.576116220223,9
rmse,standard,13785.284008301805,10
rmse,standard,9836.789967844006,11
rmse,standard,4293.338550734684,12
rmse,standard,13727.02370776663,13
rmse,standard,14774.398331344702,14
rmse,standard,1321.438352502544,15
rmse,standard,16854.92792438672,16
rmse,standard,16919.721359838117,17
rmse,standard,12900.939581990504,18
rmse,standard,8714.868021069331,19
rmse,standard,6479.955613507565,20
rmse,standard,9521.810640786518,21
rmse,standard,11917.18219090451,22
