.metric,.estimator,.estimate,Round
rmse,standard,8380.29005263747,1
rmse,standard,6518.394563336719,2
rmse,standard,99547.22697105307,3
rmse,standard,18706.737648935417,4
rmse,standard,8129.5226586019835,5
rmse,standard,8307.239072083337,6
rmse,standard,117479.65274238083,7
rmse,standard,205584.39156923408,8
rmse,standard,8087.713369014089,9
rmse,standard,12720.374880392013,10
rmse,standard,7768.945546359499,11
rmse,standard,6781.64223980611,12
rmse,standard,10865.530594492164,13
rmse,standard,12385.401865903625,14
rmse,standard,6142.266725304537,15
rmse,standard,8706.663626718715,16
rmse,standard,18631.639940211575,17
rmse,standard,10137.725956884857,18
rmse,standard,10120.934345996715,19
rmse,standard,7489.553839273837,20
rmse,standard,203834.02121640765,21
rmse,standard,5611.59720163723,22
