.metric,.estimator,.estimate,Round
rmse,standard,11018.736737270563,1
rmse,standard,10179.451840063133,2
rmse,standard,10462.215861551074,3
rmse,standard,19716.35219201932,4
rmse,standard,9257.780600566814,5
rmse,standard,6881.805534288004,6
rmse,standard,89608.15596211256,7
rmse,standard,173812.2459312095,8
rmse,standard,11384.364185950451,9
rmse,standard,303456.553211919,10
rmse,standard,9386.700894875916,11
rmse,standard,14296.585764146479,12
rmse,standard,9907.153301429555,13
rmse,standard,14654.89258776325,14
rmse,standard,3101.7355421424727,15
rmse,standard,9478.254177847071,16
rmse,standard,16663.060578009205,17
rmse,standard,13651.871050233887,18
rmse,standard,7573.117463348424,19
rmse,standard,6743.954479435175,20
rmse,standard,104130.47211478876,21
rmse,standard,11353.52261086038,22
