.metric,.estimator,.estimate,Round
rmse,standard,9293.899601691934,1
rmse,standard,7299.596362600678,2
rmse,standard,6906.716091786849,3
rmse,standard,17610.014260691445,4
rmse,standard,11273.837383459668,5
rmse,standard,10381.685743595523,6
rmse,standard,12439.486769674146,7
rmse,standard,174168.65036127833,8
rmse,standard,8756.800319155183,9
rmse,standard,15905.430173556952,10
rmse,standard,7989.557994940443,11
rmse,standard,19050.620914884414,12
rmse,standard,11064.327734429644,13
rmse,standard,14469.308996004975,14
rmse,standard,5295.498410817948,15
rmse,standard,147739.9408276043,16
rmse,standard,16985.062090126932,17
rmse,standard,128052.29886739566,18
rmse,standard,9208.358787129231,19
rmse,standard,6608.816061709515,20
rmse,standard,224330.24710766054,21
rmse,standard,9938.867915054108,22
