.metric,.estimator,.estimate,Round
rmse,standard,8236.664623939527,1
rmse,standard,7359.8692332383625,2
rmse,standard,5920.24361425334,3
rmse,standard,24253.75380635786,4
rmse,standard,5597.871223960113,5
rmse,standard,9784.386240232698,6
rmse,standard,4323.828829328325,7
rmse,standard,593827.4917151325,8
rmse,standard,13272.502851879386,9
rmse,standard,8116.180777789688,10
rmse,standard,2101.0312894754757,11
rmse,standard,14170.507902883412,12
rmse,standard,21523.917278871377,13
rmse,standard,12588.83995857233,14
rmse,standard,3616.2935847474914,15
rmse,standard,7672.752039794482,16
rmse,standard,14301.236062643009,17
rmse,standard,152825.34534462198,18
rmse,standard,1232.6704285618257,19
rmse,standard,8064.795427747921,20
rmse,standard,6045.703715218413,21
rmse,standard,4969.884601983712,22
