.metric,.estimator,.estimate,Round
rmse,standard,70059.81948867957,1
rmse,standard,7851.675381619559,2
rmse,standard,13472.415233004605,3
rmse,standard,14680.309480437201,4
rmse,standard,9556.670865663751,5
rmse,standard,8662.507418320867,6
rmse,standard,11190.385978932083,7
rmse,standard,18955.05579209334,8
rmse,standard,10210.433453418786,9
rmse,standard,12635.044335405495,10
rmse,standard,7170.110173309448,11
rmse,standard,4940.897569024966,12
rmse,standard,8011.37410887494,13
rmse,standard,17074.158432931312,14
rmse,standard,2917.7848178069194,15
rmse,standard,8443.932411341402,16
rmse,standard,17117.31019040061,17
rmse,standard,14836.239684597735,18
rmse,standard,10048.388392286146,19
rmse,standard,8035.583640368979,20
rmse,standard,10973.676240686782,21
rmse,standard,8919.825109750505,22
